Client Name,Urgency,Registration Page,Redirect Root,Redirect Slug
PM Solutions,Immediate,http://pmsolutions.rallypointwebinars.technology/local/rallypoint/webinar.php?id=189,rpw.adobeconnect.com/,recording-pmsolutions13018
PM Solutions,Immediate,http://pmsolutions.rallypointwebinars.technology/local/rallypoint/webinar.php?id=138,rpw.adobeconnect.com/,pmsolutions05232017
PM Solutions,Immediate,http://pmsolutions.rallypointwebinars.technology/local/rallypoint/webinar.php?id=105,rpw.adobeconnect.com/,pmsolutions11162016
PM Solutions,Immediate,http://pmsolutions.rallypointwebinars.technology/local/rallypoint/webinar.php?id=31,rpw.adobeconnect.com/,pmsolutions04122016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=118,rpw.adobeconnect.com/,powerplan03222017
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=101,rpw.adobeconnect.com/,powerplan11082016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=63,rpw.adobeconnect.com/,powerplan10262016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=80,rpw.adobeconnect.com/,powerplan09292016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=79,rpw.adobeconnect.com/,powerplan09282016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=57,rpw.adobeconnect.com/,powerplan07202016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=53,rpw.adobeconnect.com/,pwrplan06292016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=34,rpw.adobeconnect.com/,powerplan04262016
PowerPlan,Redirect,http://powerplan.rallypointwebinars.technology/local/rallypoint/webinar.php?id=25,rpw.adobeconnect.com/,powerplan03162016
PowerPlan-PWC,Redirect,http://powerplan-pwc.rallypointwebinars.technology/local/rallypoint/webinar.php?id=58,rpw.adobeconnect.com/,pwrplan-pwc07282016
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=188,rpw.adobeconnect.com/,optiva-record11618
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=176,rpw.adobeconnect.com/,redkneeoct2017
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=142,rpw.adobeconnect.com/,redknee06202017
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=141,rpw.adobeconnect.com/,redknee06062017
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=130,rpw.adobeconnect.com/,redknee05022017
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=128,rpw.adobeconnect.com/,redknee04132017
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=126,rpw.adobeconnect.com/,redkneemanagerpreview041217
Redknee,Immediate,http://redknee.rallypointwebinars.technology/local/rallypoint/webinar.php?id=119,rpw.adobeconnect.com/,redknee03082017
Research Now,Immediate,http://researchnow.rallypointwebinars.technology/local/rallypoint/webinar.php?id=180,rpw.adobeconnect.com/,researchnow-lawlessresearch-recording12617
SDLC Partners,Immediate,http://sdlcpartners.rallypointwebinars.technology/local/rallypoint/webinar.php?id=139,rpw.adobeconnect.com/,sdlcpartners06202017
Skyvera,Redirect,http://skyvera.rallypointwebinars.technology/local/rallypoint/webinar.php?id=186,rpw.adobeconnect.com/,recording-skyvera1312018
